PRVDR_NUM,CLOSURE_INDEX,OWNERSHIP_TYPE,MEDICAID_PRTCPTN_CD,DSH_STATUS,ACADEMIC_STATUS,NUM_BEDS_1,TOT_BEDS_DAYS_1,INPAT_BEDS_DAYS_1,INPAT_DISCH_1,TOT_INCOME_1,TOT_COSTS_1,OPEX_1,MARGIN_1,INPA_REV_1,OUTPA_REV_1,TOT_REV_1,NUM_BEDS_2,TOT_BEDS_DAYS_2,INPAT_BEDS_DAYS_2,INPAT_DISCH_2,TOT_INCOME_2,TOT_COSTS_2,OPEX_2,MARGIN_2,INPA_REV_2,OUTPA_REV_2,TOT_REV_2,NUM_BEDS_3,TOT_BEDS_DAYS_3,INPAT_BEDS_DAYS_3,INPAT_DISCH_3,TOT_INCOME_3,TOT_COSTS_3,OPEX_3,MARGIN_3,INPA_REV_3,OUTPA_REV_3,TOT_REV_3,ed1_minutes,ed1_denom,ed2_minutes,ed2_denom,imm2_share,imm2_denom,imm3_share,imm3_denom,op5_minutes,op5_denom,op18_minutes,op18_denom,op20_minutes,op20_denom,op21_minutes,op21_denom,hf_mort_rate,hf_mort_npatients,pn_mort_rate,pn_mort_npatients,hf_readm_rate,hf_readm_npatients,pn_readm_rate,pn_readm_npatients,all_readm_rate,all_readm_npatients,copd_mort_npatients,copd_mort_rate,copd_readm_npatients,copd_readm_rate,Q_COMP_1,Q_COMP_2,Q_COMP_3,Q_COMP_4,Q_COMP_5,Q_COMP_6,Q_CLEAN,Q_QUIET,Q_RECOMMEND,Q_OVERALL,HOSP_ADMIN,HOSP_BEDS,POP_2019,POP_2010,POP_2000,POP_UNDER65,TOT_BIRTHS,TOT_DEATHS,PER_INCOME,MEDIAN_HOUSE_INCOME,POVERTY_RATE,UNDER65_NO_INSURANCE,UNEMP_RATE
10005,0,1,1,1.0,0.0,194.2459016,63773.99797,27900.07375,7074.525848,209644805.2,193604829.3,193604830.8,0.076510251,125340201.1,362759808.6,488100009.7,201.7315068,66331.99818,28753.83142,7511.317558,182330523.3,173265974.5,173265972.5,0.049714927,117532591.9,352398107.8,469930699.6,204.0,67159.998,30234.29226,8708.813448,160693263.3,159897274.7,159897278.4,0.004953466,114714859.0,333726017.7,448440876.7,240.0,1230.0,72.0,1130.0,0.97000003,916.0,0.80000001,1643.0,14.0,283.0,113.0,1426.0,23.0,1488.0,67.0,485.0,0.158,349.0,0.202,850.0,0.237,362.0,0.156,841.0,0.144,2545.0,546.0,0.097,627.0,0.173,2.770000078,2.839999918,2.490000062,2.689999994,2.449999958,0.889999986,2.48999992,2.579999998,2.649999883,2.670000024,6818.0,183.0,96774.0,93019.0,82231,78805.0,1409.0,1151.0,37345.0,45983.0,15.7,15.4,2.5
10007,0,1,1,1.0,0.0,45.0,14639.99953,3919.852868,1160.682319,22910900.97,20673644.91,20673644.91,0.09765029,20571707.44,35662448.03,56234155.46,45.0,14599.9996,3439.220878,1092.597065,18322414.48,18341946.42,18341946.42,-0.001066014,16467018.77,33592018.22,50059037.0,45.0,14599.99956,3311.342367,1136.835583,17484323.42,18283603.84,18283604.59,-0.045714118,17064883.59,33942044.67,51006928.26,150.0,528.0,75.0,528.0,0.99000001,297.0,0.54000002,274.0,7.0,50.0,121.0,1490.0,40.0,1705.0,62.0,59.0,0.15,93.0,0.223,210.0,0.219,98.0,0.173,197.0,0.166,590.0,109.0,0.081,137.0,0.197,2.729999937,2.829999922,2.630000062,2.619999886,2.599999912,0.879999995,2.530000001,2.719999997,2.629999932,2.700000025,4268.0,137.0,37049.0,37765.0,37631,28790.0,423.0,560.0,36756.0,42189.0,17.2,12.5,3.4
10008,0,2,1,1.0,0.0,29.0,10643.0,1648.0,327.0,2536304.0,12898443.0,12898538.0,-4.0855274,3398768.0,7044102.0,10442870.0,29.0,10585.0,1609.0,376.0,11623458.0,12510622.0,12510622.0,-0.076325305,13134559.0,29426687.0,42561246.0,29.0,10585.0,1323.0,314.0,10381018.0,11942121.0,11942121.0,-0.15038054,14551676.0,22464984.0,37016660.0,198.0,184.0,76.0,184.0,0.91000003,286.0,0.52999997,158.0,5.0,17.0,86.0,370.0,22.0,384.0,41.0,51.0,,,0.163,67.0,0.221,25.0,0.161,69.0,0.144,148.0,27.0,0.084,31.0,0.189,2.800000194,2.929999903,2.770000119,2.770000098,2.640000023,0.839999974,2.730000135,2.689999975,2.680000056,2.709999926,1973.0,93.0,13772.0,13906.0,13665,10990.0,144.0,185.0,37118.0,43163.0,16.8,13.4,2.8
10012,0,2,1,1.0,0.0,97.0,31109.99949,8065.500953,2876.828384,56080813.27,53689704.95,53677982.42,0.042636834,181695444.3,276109375.6,457804819.9,97.0,31025.00051,8047.362058,3198.144225,52444829.79,52912975.92,52912972.22,-0.008926449,180806303.3,297357140.4,478163443.7,97.0,31024.99954,8256.301246,3203.054747,51286360.81,51991412.1,51991400.55,-0.013747345,168260924.9,277610769.2,445871694.1,199.0,394.0,54.0,394.0,0.97000003,303.0,0.85000002,803.0,1.0,65.0,137.0,404.0,32.0,426.0,58.0,185.0,0.133,142.0,0.241,265.0,0.237,162.0,0.182,274.0,0.149,741.0,155.0,0.083,182.0,0.205,2.760000087,2.80000001,2.569999948,2.639999874,2.440000027,0.879999995,2.569999926,2.58999991,2.57999998,2.660000063,3423.0,115.0,71513.0,71109.0,64452,57962.0,811.0,835.0,33242.0,40440.0,18.2,18.7,2.8
10015,1,2,1,1.0,0.0,27.0,9854.999853,2231.6849,860.6575221,10433819.01,11417792.42,11417792.42,-0.094306163,4217519.9,18062900.05,22280419.95,25.0,7665.0,970.0,526.0,32884648.0,36783188.0,36783180.0,-0.11855198,8286885.0,67184068.0,75470953.0,25.0,6935.0,1376.0,630.0,23932456.0,21462880.0,20009438.0,0.10318941,8326741.0,62714500.0,71041241.0,,,,,,,,,15.0,51.0,,,,,,,0.09,115.0,0.116,75.0,0.245,164.0,0.165,88.0,,,,,,,2.730000135,2.83000014,2.609999873,2.579999939,2.360000059,0.769999981,2.460000008,2.640000075,2.450000137,2.440000057,1873.0,60.0,23622.0,25833.0,27867,18485.0,286.0,317.0,37965.0,37404.0,18.4,12.0,5.8
10021,0,1,1,,0.0,77.0,25985.99917,7873.353147,1247.802475,46111017.17,41912672.49,41912673.49,0.091048621,60595400.2,87290807.93,147886208.1,77.0,25914.99928,7111.755992,1153.591973,35675851.1,34117340.73,34117340.98,0.043685302,34283935.17,73790044.21,108073979.4,77.0,25914.99923,7176.728556,1250.175306,30711835.52,30659485.04,30659485.04,0.00170457,21817532.6,65926528.89,87744061.5,183.0,501.0,55.0,500.0,1.0,320.0,0.98000002,509.0,6.0,32.0,92.0,515.0,25.0,621.0,45.0,71.0,0.126,77.0,0.145,142.0,0.213,91.0,0.16,155.0,0.151,378.0,105.0,0.06,135.0,0.184,2.80000001,2.879999805,2.80000001,2.699999984,2.560000077,0.879999995,2.690000124,2.80000001,2.690000065,2.639999893,1804.0,69.0,49172.0,50251.0,49129,39716.0,656.0,541.0,37853.0,47214.0,18.1,12.0,3.1
10022,0,1,1,,0.0,45.0,16469.99944,3817.9134,803.1409994,13270917.4,13842579.22,13842579.22,-0.043076284,15288612.23,64512806.91,79801419.14,45.0,16424.99953,2864.32861,663.1564025,10736424.7,14080196.56,14080196.1,-0.31144184,17775162.13,58326614.48,76101776.6,45.0,15074.99953,2431.168648,636.9765041,12438649.1,16295580.52,16295579.98,-0.31007639,18921508.4,62685071.4,81606579.8,238.0,242.0,77.0,242.0,0.99000001,290.0,0.72000003,168.0,8.0,14.0,88.0,387.0,13.0,432.0,50.0,55.0,0.135,32.0,0.181,91.0,0.212,29.0,0.152,95.0,0.15,137.0,57.0,0.078,55.0,0.19,2.820000185,2.799999975,2.649999905,2.680000033,2.579999916,0.870000005,2.709999945,2.800000031,2.60999994,2.719999906,775.0,45.0,26196.0,25989.0,23988,19874.0,231.0,359.0,36432.0,41919.0,15.9,13.0,2.9
10027,1,2,1,1.0,0.0,20.0,7320.000011,492.8391321,161.4735374,7896440.211,10680135.22,10680135.22,-0.35252529,4980932.956,7277144.175,12258077.13,25.0,9125.000315,182.7420155,46.47762719,15081478.87,13528739.63,13528739.63,0.1029567,5646030.776,7759065.122,13405095.9,25.0,9125.000272,197.5972669,67.31233099,25404599.61,24846297.56,24846297.73,0.021976415,1200512.067,26604512.78,27805024.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3954.0,99.0,52342.0,49948.0,43615,42980.0,628.0,562.0,43979.0,55637.0,15.0,13.0,2.9
10034,0,1,1,,0.0,37.0,11711.99963,2533.99085,485.2848271,16799910.35,20007421.71,20007421.71,-0.19092432,8221619.536,23815027.06,32036646.59,37.0,11679.99968,2751.244613,651.0411685,17750227.91,19475678.23,19475678.23,-0.097207218,9214689.534,26430970.72,35645660.25,37.0,11679.99965,3005.106762,828.6301134,21877323.36,23294443.45,23294443.45,-0.06477575,11354165.7,30494326.02,41848491.72,258.0,564.0,68.0,519.0,0.88,272.0,0.81999999,295.0,20.0,29.0,118.0,440.0,30.0,436.0,90.0,36.0,0.094,89.0,0.128,146.0,0.217,103.0,0.158,140.0,0.148,333.0,83.0,0.071,92.0,0.198,2.809999971,2.760000031,2.609999895,2.600000076,2.559999883,0.870000005,2.689999953,2.670000043,2.569999989,2.709999967,2043.0,96.0,81209.0,79303.0,65874,64829.0,942.0,810.0,44316.0,60891.0,11.4,8.9,2.6
10035,0,1,1,,0.0,133.0,44285.99849,25412.56308,7603.485604,152673470.2,142681460.2,142681458.6,0.065446928,237979391.0,358567530.8,596546921.8,138.9506849,46336.99887,23584.28199,7779.902984,133656129.6,123973529.8,123973531.7,0.072444111,214702735.7,326678467.4,541381203.1,145.0,44929.95747,24936.12257,7912.824425,125897873.7,114133518.5,114133518.0,0.09344364,218614974.2,302425532.1,521040506.3,244.0,860.0,86.0,860.0,0.99000001,553.0,0.91000003,1588.0,7.0,153.0,132.0,372.0,26.0,402.0,64.0,242.0,0.124,494.0,0.202,612.0,0.236,610.0,0.162,629.0,0.156,2485.0,316.0,0.078,373.0,0.182,2.750000108,2.750000056,2.480000019,2.6199999,2.490000024,0.839999974,2.650000051,2.629999913,2.56000001,2.579999939,7746.0,145.0,83768.0,80406.0,77483,67369.0,983.0,1079.0,40818.0,44918.0,12.2,13.4,2.6
10036,0,2,1,,0.0,83.0,27449.99955,6682.029759,2394.905942,44551142.74,42242913.47,42242912.46,0.051810775,101436075.9,167691408.2,269127484.1,83.0,27375.00045,7415.545592,2736.313241,41159080.05,42213086.37,42213085.37,-0.025608111,103333638.0,177550148.6,280883786.5,84.23287671,27824.99959,8172.684811,2937.479409,40500111.5,42511563.26,42511562.26,-0.049665339,105053471.9,167579205.2,272632677.1,178.0,567.0,50.0,567.0,0.99000001,354.0,0.54000002,427.0,0.0,147.0,86.0,432.0,3.0,472.0,21.0,149.0,0.109,159.0,0.156,307.0,0.227,181.0,0.177,305.0,0.154,901.0,177.0,0.072,204.0,0.202,2.720000125,2.820000185,2.529999956,2.539999977,2.469999939,0.850000024,2.599999912,2.649999905,2.579999931,2.589999974,4268.0,137.0,37049.0,37765.0,37631,28790.0,423.0,560.0,36756.0,42189.0,17.2,12.5,3.4
10043,1,1,1,1.0,0.0,27.0,9854.99975,1699.149416,582.385,14530610.66,16193466.48,16193466.48,-0.11443812,6829374.467,31174227.54,38003602.01,32.0,10950.0,2056.0,545.0,22416020.0,21973584.0,21973584.0,0.019737491,17487399.0,34250487.0,51737886.0,33.0,10996.81743,4476.212596,1412.577851,41562304.63,40033700.63,40033700.18,0.036778614,33012170.14,75799354.68,108811524.8,,,,,,,,,10.0,78.0,,,,,,,0.115,39.0,0.112,59.0,0.238,47.0,0.187,78.0,,,,,,,2.780000038,2.790000197,2.660000063,2.600000024,2.600000024,0.790000021,2.620000027,2.75999992,2.599999942,2.629999932,717.0,36.0,44428.0,43643.0,39593,36372.0,566.0,508.0,36188.0,47468.0,16.0,13.7,2.7
